Customer Key,Master Customer Name Canonical,Hosted Logo URL,Logo Path
CN991515SERV_GP,,"https://resources.finalsite.net/images/f_auto,q_auto/v1727868532/bexleyschoolsorg/m3aqiwzqvuvgk7mq494h/district-logo.png",
,JM SMUCKER,,input/logos/SJM-43f7c152.png
,GOODWILL INDUSTRIES,,input/logos/goodwill.png
,MORGAN FOODS,,input/logos/morganfoods.png
,DALEVILLE COMMUNITY SCHOOLS,,input/logos/DALEVILLE COMMUNITY SCHOOLS.png
,AMERICAN REGENT,https://media.licdn.com/dms/image/v2/C4D0BAQHTGUeB9MSFcA/company-logo_200_200/company-logo_200_200/0/1630566942833/americanregent_logo?e=2147483647&v=beta&t=nI3HjC3hyXwWKKfA1j3PXmGqun-YA77qHB6hj67peAE,
,DAYTON ART INSTITUTE,https://www.daytonartinstitute.org/wp-content/uploads/2025/01/DAI_COLOR_LOGO-copy.jpg,
DY991001SERV_GP,,https://media.licdn.com/dms/image/v2/C4D0BAQGbMFaOFiqXdA/company-logo_200_200/company-logo_200_200/0/1631350675400?e=2147483647&v=beta&t=0WAAhGz8BFHxELRph8FcdrkJ0Qx6ITHqJBSboa_Qk-w,
,ROBERT BOSCH AUTOMOTIVE,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Bosch-logo.svg/1280px-Bosch-logo.svg.png,
,ROBERT BOSCH AUTOMOTIVE STEERING,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Bosch-logo.svg/1280px-Bosch-logo.svg.png,
,GORILLA GLUE,https://gorillatough.com/wp-content/themes/gorilla-glue/library/images/logo.png,
,SYCAMORE COMMUNITY SCHOOLS,https://www.sycamoreschools.org/cms/lib/OH01914525/Centricity/Domain/1/sycamore_leaf_logo.png,
,WAPAKONETA CITY SCHOOLS,,input/logos/WAPAKONETA CITY SCHOOLS.png
,TIPPECANOE SCHOOL,,input/logos/TIPPECANOE SCHOOL CORPORATION.png
