raw_make,support_n,current_normalize_brand,suggested_brand,similarity,examples
CARRIER,371,CARRIER/ICP,CARRIER/ICP,0.824,"[""Carrier"", ""CARRIER"", ""carrier""]"
LENOX,114,LENOX,LENNOX,0.909,"[""Lenox""]"
ARMSTRONG,32,ARMSTRONG,ARMSTRONG AIR,0.857,"[""Armstrong"", ""ARMSTRONG""]"
AERCO,25,AERCO,AERO,0.889,"[""AERCO""]"
PENN,12,PENN,PENNCO,0.800,"[""PENN""]"
ARMSTONG,9,ARMSTONG,ARISTON,0.800,"[""ARMSTONG""]"
BRYAN,8,BRYAN,BROAN,0.800,"[""Bryan""]"
RAYPACK,8,RAYPACK,RAYPAK,0.923,"[""Raypack""]"
LOCHENVAR,8,LOCHENVAR,LOCHINVAR,0.889,"[""Lochenvar""]"
WIEL MCLAIN,6,WIEL MCLAIN,WEIL MCLAIN,0.900,"[""WIEL MCLAIN""]"
ABSOLUTEAIRE,4,ABSOLUTEAIRE,ABSOLUTAIRE,0.957,"[""ABSOLUTEAIRE""]"
MITSUBII,4,MITSUBII,MITSUBISHI,0.889,"[""Mitsubii""]"
CLEVERBROOKS,3,CLEVERBROOKS,CLEAVER BROOKS,0.960,"[""CleverBrooks""]"
ARMTROL,3,ARMTROL,AMTROL,0.923,"[""ARMTROL""]"
INTERNATIONAL COMFORT PRODUCTS,2,INTERNATIONAL COMFORT PRODUCTS,NATIONAL COMFORT PRODUCTS,0.902,"[""International Comfort Products""]"
LOCKINVAR,2,LOCKINVAR,LOCHINVAR,0.889,"[""Lockinvar""]"
MCQAUY,2,MCQAUY,MCQUAY,0.833,"[""McQauy""]"
FREDRICK,2,FREDRICK,FRIEDRICH,0.824,"[""FREDRICK""]"
MITZUBISHI,2,MITZUBISHI,MITSUBISHI,0.900,"[""Mitzubishi""]"
ARCO,2,ARCO,AIRCO,0.889,"[""ARCO""]"
ARMSTRON,2,ARMSTRON,ARISTON,0.800,"[""ARMSTRON""]"
CLEVER BROOKS,1,CLEVER BROOKS,CLEAVER BROOKS,0.960,"[""Clever Brooks""]"
HIEL,1,HIEL,SHIELD,0.800,"[""HIEL""]"
CLIMATE MATER,1,CLIMATE MATER,CLIMATEMASTER,0.960,"[""Climate Mater""]"
ALLIED AIR,1,ALLIED AIR,APPLIED AIR,0.842,"[""ALLIED AIR""]"
SMITH,1,SMITH,A O SMITH,0.833,"[""Smith""]"
